,RegionName,one_month_sign_acc,quarter_sign_acc,year_sign_acc,one_month_diff,quarter_diff,year_diff,time_used
0,8701,1,1,0,0.357155306814413,2.4713801096324937,10.684819371765114,1
1,77449,0,0,0,0.25920505252076875,1.2687052192340524,1.7473180793710745,1
2,11368,1,1,1,0.1963143793190599,0.893311587543118,0.4922080111846227,1
3,77084,0,0,0,0.20117699640919526,0.9015692893695659,1.2016078140984916,1
4,79936,1,0,1,0.22262251102597438,0.9654972014937765,2.73201765501765,1
5,11385,0,0,1,0.30142781294694876,0.0016947388652339124,0.3982982636684718,1
6,78660,1,1,1,0.3078509602900076,1.3635556538242244,0.31458499619176217,1
7,11208,1,0,0,0.19275979949010838,1.0776668914939276,4.203805942320683,1
8,90011,1,1,1,0.699908516886092,1.69990851684886,0.09989459969930632,1
9,77433,0,0,0,0.10027116198734116,0.8003465046943578,1.0003523580144082,1
10,60629,1,0,0,0.3534836097108444,1.9599982545825798,7.438696821608868,1
11,90650,1,1,1,0.015241539067806065,0.3445995552529605,4.460571222417298,1
12,91331,1,1,1,0.4998960856692281,0.9999059548937087,0.299950366210592,1
13,37013,0,0,0,0.2144255662602392,0.924431692759038,1.02444650357734,1
14,11236,1,1,0,0.060033285406909415,0.51959926813823,3.2762889668481363,1
15,10467,0,1,1,0.1440586960841733,0.5560144540777369,0.2797147311078281,1
16,11373,1,1,1,0.1781086228128239,0.8578515055269512,0.5474698267630238,1
17,11226,0,1,1,0.012579116382219663,0.5767571653848941,1.0722207549818792,1
18,11207,0,1,1,0.22690554166975077,0.17311462302591557,0.5999644959884496,1
19,30044,0,0,1,0.3880802706684571,1.4542245973418115,2.5476478786821666,1
20,90044,1,1,1,0.5998976260344773,1.3998976265981267,0.09993780187830081,1
21,92336,1,0,1,0.29455352351886477,1.2389821356252833,2.757563179996869,1
22,94565,0,0,0,0.5071601004044516,1.4071560831950305,3.0000865807183406,1
23,77573,0,1,1,0.0012656936551637043,0.4983749587494266,0.8983584687785611,1
24,92335,1,1,0,0.19990179315668014,0.7999359323917857,1.1000895531734616,1
25,90201,1,1,1,0.5785923320151161,1.268200572350276,0.5666754773946484,1
26,90250,0,0,1,0.4277684467607413,1.125822696425874,0.29119049419273624,1
27,10025,1,1,1,0.09591152902819472,0.2928792725639294,0.8919207419429506,1
28,75052,0,0,0,0.10998742700485906,0.7254699914356778,0.45657545252420906,1
29,90805,1,1,1,0.48299476856117507,1.0732544766703787,0.17131059684692412,1
30,11214,0,1,1,0.008188803105215931,0.7883152664220437,0.6879140504598652,1
31,60618,0,0,1,0.2004194377498844,0.00031405835809327506,0.7998350734030898,1
32,93307,0,1,0,0.00016239560447859556,0.1991292279970996,0.8040581816685776,1
33,90280,1,1,1,0.21025912034135452,0.13851604034446718,2.9114958782982026,1
34,11234,1,0,0,0.010085023582923208,0.6695541562801974,2.775624356564312,1
35,91342,1,1,1,0.2265566699557361,0.1201041748492544,4.079914083203875,1
36,92683,1,1,1,0.26132404515372487,1.2792468125335554,7.134515403091932,1
37,10314,1,0,0,0.08410879102815211,1.0522667658484082,3.8089461423870286,1
38,11220,1,1,1,0.29044913169759856,1.2865301226437873,1.186112363184622,1
39,60639,1,0,0,0.3486930736694759,1.4459591176483324,6.28287111054303,1
