,RegionName,one_month_sign,quarter_sign,year_sign,month_diff,quarter_diff,year_diff
10362,14782.0,0,0,1,97.2984599920969,98.2703677565987,94.99052027637077
10363,72642.0,0,1,1,38.527219055806974,38.66533659499375,38.2623058870198
10364,32358.0,0,0,1,16.264777939192648,16.94679415956545,15.979503699029506
10365,10511.0,0,0,1,41.378324614143914,41.40452086863705,40.27553530644351
10366,2898.0,0,0,0,36.72823270018764,37.145836298087914,38.2528300497687
10367,16421.0,1,1,1,32.410320544711446,32.102347373056574,31.516810748232935
10368,97014.0,0,1,0,20.51289290060735,20.329452447542778,20.978183776611488
10369,64136.0,0,0,1,22.55996669947735,22.998263830062598,22.08813166620117
10370,43466.0,0,0,0,95.96610863040634,96.42997740123865,96.08671673276758
10371,77417.0,0,0,0,19.738871498486787,20.774976667180272,20.881031178272334
10372,40056.0,0,0,1,5.355282571881045,5.377378313158821,4.930763190372
10373,21912.0,0,0,0,42.32398761692655,42.36866639543154,42.821177327162
10374,14139.0,0,1,0,8.686016571062309,8.444202102572431,9.5917106893685
10375,5763.0,1,1,1,3.0449186359016007,2.370325350385773,3.0197848455913485
10376,43766.0,0,0,1,218.01777995259155,220.49438754414481,216.01936542109084
10377,21625.0,0,0,0,30.155466965396336,30.331690456898706,30.556059946819946
10378,3582.0,1,1,1,62.88809358762191,63.17442081417423,59.33444853756957
10379,12916.0,0,0,0,126.50861109959172,128.05328057129742,126.44141895208519
10380,72633.0,1,1,1,41.04423507018033,40.899940000862806,39.96592369164473
10381,73669.0,1,0,0,112.05898533724384,113.61500292220293,114.04307338195915
10382,91916.0,1,1,0,54.22017776619014,54.048638122735206,54.523832030174034
10383,28396.0,0,0,1,68.77666487821185,69.86954372272135,65.87994998885658
10384,53529.0,0,1,1,33.58378979650142,33.57518973949287,33.49162910749865
10385,31795.0,0,1,1,96.03843322090431,96.20730203965357,95.27077665128593
10386,14747.0,1,1,1,97.62143017812046,97.80502358281502,95.03030120367056
10387,99181.0,1,1,0,6.180771412510787,5.518827059923154,6.658893077143036
10388,46555.0,1,1,1,15.964750094529501,15.971493522232592,15.57308864240785
10389,13318.0,1,1,1,34.351121124931566,34.24650254970771,32.42759231838847
10390,30641.0,0,1,0,28.91957236723317,28.78970163350736,29.907250105608803
10391,13156.0,1,0,1,36.64268092653221,37.139543533640555,35.18292640177556
10392,73852.0,0,0,0,149.56554952976333,151.8491429990923,153.5031791887123
10393,13625.0,1,1,1,63.3162329015523,63.19569532213486,63.44319206039157
10394,49411.0,1,1,1,28.278896610573838,28.45999795734859,27.35860588798907
10395,17321.0,0,0,0,19.08155405131726,19.193707403182973,19.673245826102878
10396,68430.0,0,1,0,48.895753373438886,48.57587556675681,48.88568426527005
10397,4461.0,0,0,1,39.56141807788063,39.80663414185768,37.40829929714584
10398,40109.0,1,1,0,20.302500279651376,20.334651159091308,21.029300254209044
10399,11964.0,0,1,1,80.81094392268929,80.3962890756215,80.05200474148823
10400,15035.0,0,0,0,172.47533307919292,174.17601875357437,174.13796769440864
10401,1237.0,0,0,0,16.731786716642443,16.83080657885649,18.414803269593968
10402,1039.0,0,0,0,31.561914062033047,31.54470014988205,32.25769810507106
10403,13843.0,0,0,0,74.90393883532283,75.73708970576489,74.70193760843007
10404,16141.0,0,0,0,88.02004005948699,88.82422552692542,87.3461770504353
10405,20818.0,0,0,1,76.08945737284814,76.43649221285068,74.49401002143188
10406,1515.0,0,0,0,26.217603147829482,26.569945277722077,27.709174206324214
10407,43067.0,0,0,1,6.80454985178293,7.04028023948303,6.1918743058571675
10408,14058.0,1,0,1,54.40905118692542,55.03008372222762,53.099024731896186
10409,13063.0,1,1,1,5.8941603255597785,6.018850322081696,3.8555862896286652
10410,45153.0,0,0,0,23.267758872364144,23.915634064418253,22.97427894617159
10411,45729.0,1,0,0,27.370461227741565,28.0390398244677,29.08029160562616
10412,64139.0,0,1,0,30.25647129917102,30.0246809797748,30.421489650222334
10413,13425.0,1,1,1,66.11465488807328,66.30143642551475,64.47985795563037
10414,74041.0,1,0,1,31.937331181542895,32.52939214124221,31.154442762913355
10415,21555.0,1,1,0,64.38878689888624,64.68650599165548,64.82260188858774
10416,13112.0,1,1,1,18.370785238254925,18.37549726740784,16.24456831011769
10417,27507.0,0,0,0,26.901307994577753,26.955780564560023,26.617399879820063
10418,14814.0,1,1,0,20.047696195458812,20.161664443504574,20.24088323544805
10419,26060.0,0,0,0,81.99156997444575,83.07607629688968,84.40553207051076
10420,44423.0,0,0,0,62.20226604457697,63.05976584821098,62.28112511886972
10421,12173.0,0,0,0,11.690756988429131,11.857389885643139,14.186704714951887
10422,13076.0,1,1,1,40.5627939248554,40.99859327570142,38.82917842270029
10423,42784.0,0,0,1,86.11582328908156,87.0217309741327,85.12115531613205
10424,38461.0,1,1,1,14.388923139181141,14.186115071159252,14.670788654382047
10425,73754.0,1,0,0,125.91455989003211,126.86708893132568,127.84803147294737
10426,20197.0,0,0,1,75.20245129885343,75.34643966974872,73.81524273507539
10427,81630.0,0,0,0,14.17182878387666,14.749058089379673,16.587708055823022
10428,3255.0,0,0,0,49.81162053160575,50.51751417725483,52.954527687258135
10429,12193.0,0,0,1,3.3937774053886263,3.6077275384145624,2.875249198534922
10430,95452.0,1,1,1,76.96932625627664,76.51485358891637,73.91290705014049
10431,12185.0,0,0,1,4.692494911134663,5.1235414905231496,4.3996634197935665
10432,7865.0,0,0,1,35.49951210934464,35.708654723443026,34.614730236140346
10433,40177.0,0,0,0,157.37420317706156,159.0793641131365,157.60568107531859
10434,92391.0,1,1,0,19.347990052927294,19.267782591263654,20.40454923000772
10435,61744.0,1,0,0,66.90196627834078,67.5003048266854,67.4965786580946
10436,55368.0,0,1,1,9.376728080136173,9.118692813905735,7.635733852660834
10437,62001.0,1,0,0,16.94947617078198,17.653005087982926,17.261844709563075
10438,44634.0,1,0,0,36.81455224392803,37.324353977235575,37.20400557713609
10439,13797.0,0,0,1,68.29761739447423,68.69242787952459,66.88899067200552
10440,60963.0,1,1,0,230.49923711755005,231.89333044078822,232.5720298198246
10441,55965.0,0,0,0,21.04499147627195,22.06838903838626,21.84639684086969
10442,93285.0,0,0,1,33.313608285869535,33.51418542875984,32.845637134756984
10443,4928.0,0,0,1,69.47051972081633,69.9846874728384,67.40319037934336
